Date,open,high,low,close,volume
2022-01-03,177.83,182.88,177.71,182.01,104701220
2022-01-04,182.63,182.94,179.12,179.7,99310438
2022-01-05,179.61,180.17,174.64,174.92,94537602
2022-01-06,172.7,175.3,171.64,172.0,96903955
2022-01-07,172.89,174.14,171.03,172.17,86709147
2022-01-10,169.08,172.5,168.17,172.19,106765552
2022-01-11,172.32,175.18,170.82,175.08,75937685
2022-01-12,176.12,177.18,174.82,175.53,74805173
2022-01-13,175.78,176.62,171.79,172.19,84505760
2022-01-14,171.34,173.78,171.09,173.07,80440780
2022-01-18,171.51,172.54,169.405,169.8,90500236
2022-01-19,170.0,171.08,165.94,166.23,92914792
2022-01-20,166.98,169.68,164.18,164.51,91420515
2022-01-21,164.415,166.33,162.3,162.41,122848858
2022-01-24,160.02,162.3,154.7,161.62,162706686
2022-01-25,158.98,162.76,157.02,159.78,115798367
2022-01-26,163.5,164.3894,157.82,159.69,108275308
2022-01-27,162.45,163.84,158.28,159.22,121954638
2022-01-28,165.71,170.35,162.8,170.33,179935660
2022-01-31,170.16,175.0,169.51,174.78,115541590
2022-02-01,174.01,174.84,172.31,174.61,86213911
2022-02-02,174.745,175.88,173.33,175.84,84914256
2022-02-03,174.48,176.2399,172.12,172.9,89418074
2022-02-04,171.68,174.1,170.68,172.39,82465400
2022-02-07,172.86,173.9458,170.95,171.66,77251204
2022-02-08,171.73,175.35,171.43,174.83,74829217
2022-02-09,176.05,176.65,174.9,176.28,71285038
2022-02-10,174.14,175.48,171.55,172.12,90865899
2022-02-11,172.33,173.08,168.04,168.64,98670687
2022-02-14,167.37,169.58,166.56,168.88,86185530
2022-02-15,170.97,172.95,170.25,172.79,64286320
2022-02-16,171.85,173.34,170.05,172.55,61177398
2022-02-17,171.03,171.91,168.47,168.88,69589344
2022-02-18,169.82,170.5413,166.19,167.3,82772674
2022-02-22,164.98,166.69,162.15,164.32,90457637
2022-02-23,165.54,166.15,159.75,160.07,90009247
2022-02-24,152.58,162.85,152.0,162.74,141147540
2022-02-25,163.84,165.12,160.8738,164.85,91974222
2022-02-28,163.06,165.42,162.43,165.12,95056629
2022-03-01,164.695,166.6,161.97,163.2,83474425
2022-03-02,164.39,167.36,162.95,166.56,79724750
2022-03-03,168.47,168.91,165.55,166.23,76678441
2022-03-04,164.49,165.55,162.1,163.17,83819592
2022-03-07,163.36,165.02,159.04,159.3,96418845
2022-03-08,158.82,162.88,155.8,157.44,131148280
2022-03-09,161.475,163.41,159.41,162.95,91454905
2022-03-10,160.2,160.39,155.98,158.52,105342033
2022-03-11,158.93,159.28,154.5,154.73,96970102
2022-03-14,151.45,154.12,150.1,150.62,108732111
2022-03-15,150.9,155.57,150.38,155.09,92964302
2022-03-16,157.05,160.0,154.46,159.59,102300157
2022-03-17,158.61,161.0,157.63,160.62,75615376
2022-03-18,160.51,164.48,159.76,163.98,122055535
2022-03-21,163.51,166.35,163.015,165.38,89029269
2022-03-22,165.51,169.42,164.91,168.82,80979755
2022-03-23,167.99,172.64,167.65,170.21,98062674
2022-03-24,171.06,174.14,170.21,174.07,90131418
2022-03-25,173.88,175.28,172.75,174.72,80281664
2022-03-28,172.17,175.73,172.0,175.6,90371916
2022-03-29,176.69,179.01,176.34,178.96,100589440
2022-03-30,178.55,179.61,176.7,177.77,92633154
