,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL240112C00060000,2023-12-21 16:40:40+00:00,60.0,134.9,120.35,122.1,0.0,0.0,,2,2.9531276171874996,True,REGULAR,USD
1,AAPL240112C00075000,2024-01-04 18:15:33+00:00,75.0,106.31,105.35,107.25,-1.3800049,-1.2814605,1.0,1,2.6679720800781253,True,REGULAR,USD
2,AAPL240112C00085000,2023-12-08 18:02:53+00:00,85.0,110.78,95.4,96.7,0.0,0.0,,4,2.8593778515625,True,REGULAR,USD
3,AAPL240112C00125000,2024-01-05 20:16:50+00:00,125.0,55.54,55.35,57.05,-6.5599976,-10.563603,2.0,3,0.98437515625,True,REGULAR,USD
4,AAPL240112C00130000,2024-01-05 18:22:07+00:00,130.0,51.69,50.7,51.75,-18.030003,-25.86059,1.0,11,0.9687503125,True,REGULAR,USD
5,AAPL240112C00135000,2024-01-02 15:21:32+00:00,135.0,51.82,45.15,47.25,0.0,0.0,1.0,1,0.79687703125,True,REGULAR,USD
6,AAPL240112C00140000,2023-12-15 18:32:46+00:00,140.0,58.15,40.65,41.7,0.0,0.0,15.0,40,1.1318402783203125,True,REGULAR,USD
7,AAPL240112C00145000,2024-01-02 19:59:07+00:00,145.0,39.42,35.4,37.25,0.0,0.0,1.0,3,0.79687703125,True,REGULAR,USD
8,AAPL240112C00150000,2024-01-05 15:46:28+00:00,150.0,30.56,30.4,31.9,-1.9300022,-5.9402957,41.0,59,0.945313046875,True,REGULAR,USD
9,AAPL240112C00155000,2024-01-05 15:06:25+00:00,155.0,27.59,25.8,27.5,0.13000107,0.47341976,10.0,445,0.737307314453125,True,REGULAR,USD
10,AAPL240112C00160000,2024-01-05 20:58:30+00:00,160.0,21.36,20.55,22.15,-0.45999908,-2.1081536,115.0,86,0.500005,True,REGULAR,USD
11,AAPL240112C00165000,2024-01-05 20:00:55+00:00,165.0,16.1,15.7,17.1,-1.3299999,-7.630522,99.0,72,0.596683720703125,True,REGULAR,USD
12,AAPL240112C00167500,2024-01-05 20:45:00+00:00,167.5,13.55,13.2,14.55,-1.5,-9.966777,6.0,58,0.5185595019531251,True,REGULAR,USD
13,AAPL240112C00170000,2024-01-05 20:50:17+00:00,170.0,11.2,10.7,11.6,-1.29,-10.328262,385.0,318,0.36035795898437495,True,REGULAR,USD
14,AAPL240112C00172500,2024-01-05 20:50:32+00:00,172.5,8.8,8.3,9.7,-1.0999994,-11.111106,87.0,65,0.4018614501953125,True,REGULAR,USD
15,AAPL240112C00175000,2024-01-05 20:59:45+00:00,175.0,6.55,6.6,6.8,-1.0899997,-14.267011,835.0,424,0.26758544921875,True,REGULAR,USD
16,AAPL240112C00177500,2024-01-05 20:55:00+00:00,177.5,4.5,4.45,4.6,-0.8000002,-15.094343,2201.0,448,0.2329178271484375,True,REGULAR,USD
17,AAPL240112C00180000,2024-01-05 20:59:53+00:00,180.0,2.73,2.73,2.75,-0.79999995,-22.662888,12805.0,2735,0.2111895288085937,True,REGULAR,USD
