,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL240202P00090000,2023-12-27 19:46:51+00:00,90.0,0.01,0.0,1.04,0.0,0.0,,1,1.3330111474609372,False,REGULAR,USD
1,AAPL240202P00115000,2023-12-28 15:47:42+00:00,115.0,0.01,0.0,0.03,0.0,0.0,,2,0.57812921875,False,REGULAR,USD
2,AAPL240202P00120000,2024-01-04 20:32:49+00:00,120.0,0.04,0.0,1.11,0.0,0.0,103.0,111,0.8491226025390625,False,REGULAR,USD
3,AAPL240202P00125000,2024-01-03 20:49:37+00:00,125.0,0.03,0.0,1.06,0.0,0.0,2.0,7,0.7700218310546876,False,REGULAR,USD
4,AAPL240202P00135000,2024-01-03 17:51:20+00:00,135.0,0.07,0.0,1.09,0.0,0.0,2.0,7,0.6372106591796876,False,REGULAR,USD
5,AAPL240202P00145000,2024-01-05 20:52:30+00:00,145.0,0.12,0.1,0.12,0.0,0.0,31.0,152,0.387701435546875,False,REGULAR,USD
6,AAPL240202P00150000,2024-01-05 20:20:13+00:00,150.0,0.18,0.0,1.25,0.02000001,12.500008,25.0,212,0.5446822875976562,False,REGULAR,USD
7,AAPL240202P00155000,2024-01-05 20:20:51+00:00,155.0,0.26,0.06,0.27,-0.01000002,-3.7037113,46.0,346,0.32910827148437494,False,REGULAR,USD
8,AAPL240202P00160000,2024-01-05 20:58:59+00:00,160.0,0.39,0.39,0.42,-0.030000001,-7.1428576,145.0,1693,0.3002999658203125,False,REGULAR,USD
9,AAPL240202P00165000,2024-01-05 20:55:25+00:00,165.0,0.7,0.28,0.8,0.0,0.0,434.0,484,0.28613995117187496,False,REGULAR,USD
10,AAPL240202P00170000,2024-01-05 20:58:36+00:00,170.0,1.25,1.22,1.3,0.0,0.0,1059.0,1649,0.25965095825195317,False,REGULAR,USD
11,AAPL240202P00175000,2024-01-05 20:59:05+00:00,175.0,2.21,1.83,2.26,0.059999943,2.790695,669.0,1900,0.2399978344726562,False,REGULAR,USD
12,AAPL240202P00180000,2024-01-05 20:56:19+00:00,180.0,3.95,3.8,4.05,0.23000002,6.182796,1752.0,3414,0.231452998046875,False,REGULAR,USD
13,AAPL240202P00185000,2024-01-05 20:56:08+00:00,185.0,6.33,5.65,6.9,0.3800001,6.3865566,759.0,2105,0.23474886352539062,True,REGULAR,USD
14,AAPL240202P00190000,2024-01-05 20:53:51+00:00,190.0,9.7,9.0,10.15,0.39999962,4.301071,301.0,10663,0.21497367065429687,True,REGULAR,USD
15,AAPL240202P00195000,2024-01-05 20:43:20+00:00,195.0,14.5,13.5,15.0,1.4499998,11.11111,23.0,1464,0.26782958740234375,True,REGULAR,USD
16,AAPL240202P00200000,2024-01-05 19:40:20+00:00,200.0,19.0,17.55,19.65,1.5,8.571429,65.0,2162,0.29273168212890616,True,REGULAR,USD
17,AAPL240202P00205000,2024-01-04 19:33:21+00:00,205.0,22.71,22.35,25.25,0.0099983215,0.04404547,1.0,6,0.4008848974609375,True,REGULAR,USD
18,AAPL240202P00210000,2024-01-02 14:48:19+00:00,210.0,23.4,27.5,30.3,0.0,0.0,1.0,0,0.45703667968750006,True,REGULAR,USD
19,AAPL240202P00215000,2023-12-29 16:24:20+00:00,215.0,22.9,33.45,34.75,0.0,0.0,1.0,0,0.44727115234375,True,REGULAR,USD
20,AAPL240202P00265000,2023-12-21 16:49:42+00:00,265.0,69.95,82.1,84.55,0.0,0.0,,0,0.7778342529296876,True,REGULAR,USD
